# index,idx,pollinator,pol_ge_sp,plant_ge,plant_sp, _pos
260,196,1,Cheilosia sp.11 (Syr. : Dip. ),,,"array([-0.01942845, -2.24725681])"
261,197,1,Cheilosia sp.12 (Syr. : Dip. ),,,"array([-0.2395749 , -2.33962321])"
262,198,1,Cheilosia sp.4 (Syr. : Dip. ),,,"array([-0.88922595, -2.30141228])"
263,199,1,Cheilosia sp.5 (Syr. : Dip. ),,,"array([-0.21378837, -2.00901327])"
264,200,1,Cheilosia sp.6 (Syr. : Dip. ),,,"array([-0.08521207, -2.42810629])"
265,201,1,Cheilosia sp.7 (Syr. : Dip. ),,,"array([-0.24206419, -2.27771649])"
266,202,1,Cheilosia sp.9 (Syr. : Dip. ),,,"array([-0.72340178, -2.17514196])"
267,203,1,Cheilosia sp.14 (Syr. : Dip. ),,,"array([-0.41177533, -2.2461835 ])"
268,133,1,CHIRONOMIDAE5 (Chi. : Dip. ),,,"array([-0.1702875 , -2.36511733])"
269,134,1,CHIRONOMIDAE8 (Chi. : Dip. ),,,"array([ 0.04286154, -2.12245188])"
270,135,1,CHIRONOMIDAE9 (Chi. : Dip. ),,,"array([-0.1431811 , -2.45356099])"
271,450,1,Chlorophorus japonicus (Cer. : Col. ),,,"array([-0.0861744 , -2.60859349])"
272,286,1,CHLOROPIDAE10 (Chl. : Dip. ),,,"array([-0.67546608, -2.44310521])"
273,287,1,CHLOROPIDAE11 (Chl. : Dip. ),,,"array([-0.61221594, -2.30533808])"
274,288,1,CHLOROPIDAE17 (Chl. : Dip. ),,,"array([-0.41711806, -2.91042881])"
275,289,1,CHLOROPIDAE18 (Chl. : Dip. ),,,"array([-0.08681692, -2.50894334])"
276,290,1,CHLOROPIDAE2 (Chl. : Dip. ),,,"array([-0.63801766, -2.20863599])"
277,291,1,CHLOROPIDAE20 (Chl. : Dip. ),,,"array([-0.37582852, -2.66469353])"
278,292,1,CHLOROPIDAE22 (Chl. : Dip. ),,,"array([-0.15582793, -2.92436148])"
279,293,1,CHLOROPIDAE23 (Chl. : Dip. ),,,"array([-0.20550717, -2.11215876])"
280,294,1,CHLOROPIDAE24 (Chl. : Dip. ),,,"array([-0.2852312 , -1.93061655])"
281,295,1,CHLOROPIDAE25 (Chl. : Dip. ),,,"array([-0.43749762, -2.02515605])"
282,296,1,CHLOROPIDAE26 (Chl. : Dip. ),,,"array([-0.54210486, -1.95874056])"
283,297,1,CHLOROPIDAE28 (Chl. : Dip. ),,,"array([-0.46165134, -2.21123531])"
284,298,1,CHLOROPIDAE29 (Chl. : Dip. ),,,"array([-0.67239121, -2.52637343])"
285,299,1,CHLOROPIDAE3 (Chl. : Dip. ),,,"array([ 0.02814362, -2.17474657])"
286,300,1,CHLOROPIDAE9 (Chl. : Dip. ),,,"array([-0.39396745, -2.92730903])"
287,81,1,Choaspes benjaminii (Hes. : Lep. ),,,"array([-0.60137046, -2.81522458])"
288,142,1,Choerades sp. (Asi. : Dip. ),,,"array([-0.64777862, -2.37910086])"
289,472,1,CHRYSOMELIDAE14 (Chr. : Col. ),,,"array([-0.16997748, -2.30353918])"
290,473,1,CHRYSOMELIDAE17 (Chr. : Col. ),,,"array([-0.18654076, -3.02324535])"
291,474,1,CHRYSOMELIDAE20 (Chr. : Col. ),,,"array([ 0.03113834, -2.73153414])"
292,475,1,CHRYSOMELIDAE22 (Chr. : Col. ),,,"array([-0.41142887, -2.86572598])"
293,476,1,CHRYSOMELIDAE24 (Chr. : Col. ),,,"array([-0.60929497, -2.62332409])"
294,477,1,CHRYSOMELIDAE26 (Chr. : Col. ),,,"array([-0.43512212, -2.57260543])"
295,478,1,CHRYSOMELIDAE31 (Chr. : Col. ),,,"array([-0.8266432 , -2.32815516])"
296,479,1,CHRYSOMELIDAE32 (Chr. : Col. ),,,"array([-0.5997161 , -2.67322535])"
